"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:33:16.9695479 PM","Explorer.EXE","1444","QueryOpen","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","CreationTime: 12/15/2011 8:59:33 PM, LastAccessTime: 12/15/2011 10:32:24 PM, LastWriteTime: 4/11/2011 1:08:18 AM, ChangeTime: 12/15/2011 10:32:02 PM, AllocationSize: 3,022,848, EndOfFile: 3,022,712, FileAttributes: A"
"10:33:16.9698642 PM","Explorer.EXE","1444","CreateFile","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:33:16.9700902 PM","Explorer.EXE","1444","CreateFileMapping","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
"10:33:16.9701086 PM","Explorer.EXE","1444","QueryStandardInformationFile","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","AllocationSize: 3,022,848, EndOfFile: 3,022,712, NumberOfLinks: 1, DeletePending: False, Directory: False"
"10:33:16.9703346 PM","Explorer.EXE","1444","CreateFileMapping","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","SyncType: SyncTypeOther"
"10:33:16.9705679 PM","Explorer.EXE","1444","CloseFile","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS",""
"10:33:16.9706693 PM","Explorer.EXE","1444","ReadFile","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","Offset: 0, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"10:33:16.9986547 PM","lsass.exe","696","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"10:33:16.9986927 PM","lsass.exe","696","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:33:16.9987441 PM","lsass.exe","696","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"10:33:16.9988444 PM","lsass.exe","696","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:33:16.9988564 PM","lsass.exe","696","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:33:16.9989595 PM","lsass.exe","696","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"10:33:16.9990377 PM","lsass.exe","696","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:33:16.9993559 PM","lsass.exe","696","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"10:33:17.0008279 PM","lsass.exe","696","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"10:33:17.0008527 PM","lsass.exe","696","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:33:17.0008751 PM","lsass.exe","696","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
