"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:57:39.6616317 PM","Explorer.EXE","1308","QueryOpen","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","CreationTime: 12/15/2011 8:59:33 PM, LastAccessTime: 12/15/2011 10:56:49 PM, LastWriteTime: 4/11/2011 1:08:18 AM, ChangeTime: 12/15/2011 10:54:33 PM, AllocationSize: 3,022,848, EndOfFile: 3,022,712, FileAttributes: A"
"10:57:39.6619125 PM","Explorer.EXE","1308","CreateFile","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:57:39.6621268 PM","Explorer.EXE","1308","CreateFileMapping","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
"10:57:39.6621458 PM","Explorer.EXE","1308","QueryStandardInformationFile","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","AllocationSize: 3,022,848, EndOfFile: 3,022,712, NumberOfLinks: 1, DeletePending: False, Directory: False"
"10:57:39.6622047 PM","Explorer.EXE","1308","CreateFileMapping","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","SyncType: SyncTypeOther"
"10:57:39.6624684 PM","Explorer.EXE","1308","CloseFile","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS",""
"10:57:39.8484488 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"10:57:39.8484778 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:57:39.8485049 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"10:57:39.8485507 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:57:39.8485692 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:57:39.8485943 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"10:57:39.8486276 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
